rank,name,country_name,country_id,active,value
132,Karol Beck,Slovakia,SVK,false,0.640
133,Davide Sanguinetti,Italy,ITA,false,0.640
134,Roberto Carballes Baena,Spain,ESP,true,0.639
135,Patrick Baur,Germany,GER,false,0.639
136,Jeremy Bates,United Kingdom,GBR,false,0.638
137,Radu Albot,"Moldova, Republic of",MDA,true,0.637
138,Mikael Tillstrom,Sweden,SWE,false,0.636
139,Andreas Haider Maurer,Austria,AUT,false,0.636
140,Francisco Clavet,Spain,ESP,false,0.635
141,Nicolas Massu,Chile,CHI,false,0.635
142,Go Soeda,Japan,JPN,true,0.633
143,Neville Godwin,South Africa,RSA,false,0.633
144,Alberto Mancini,Argentina,ARG,false,0.632
145,Olivier Delaitre,France,FRA,false,0.632
146,Jan Vacek,Czech Republic,CZE,false,0.632
147,Carlos Costa,Spain,ESP,false,0.632
148,Diego Nargiso,Italy,ITA,false,0.632
149,Hernan Gumy,Argentina,ARG,false,0.632
150,Andrey Golubev,Kazakhstan,KAZ,false,0.632
151,Dennis Van Scheppingen,Netherlands,NED,false,0.631
152,Filip Dewulf,Belgium,BEL,false,0.630
153,Evgeny Korolev,Kazakhstan,KAZ,false,0.630
154,Sebastien Lareau,Canada,CAN,false,0.629
155,Sargis Sargsian,Armenia,ARM,false,0.629
156,Javier Sanchez,Spain,ESP,false,0.629
157,Juan Ignacio Chela,Argentina,ARG,false,0.629
158,Hendrik Dreekmann,Germany,GER,false,0.629
159,Hicham Arazi,Morocco,MAR,false,0.629
160,Todd Woodbridge,Australia,AUS,false,0.628
161,Stefano Pescosolido,Italy,ITA,false,0.628
162,Nikoloz Basilashvili,Georgia,GEO,true,0.628
163,Diego Sebastian Schwartzman,Argentina,ARG,true,0.628
164,Peter Luczak,Australia,AUS,false,0.627
165,Adrian Voinea,Romania,ROU,false,0.627
166,Karim Alami,Morocco,MAR,false,0.626
167,Aaron Krickstein,United States,USA,false,0.626
168,Luiz Mattar,Brazil,BRA,false,0.625
169,Benoit Paire,France,FRA,true,0.625
170,Illya Marchenko,Ukraine,UKR,true,0.625
171,Byron Black,Zimbabwe,ZIM,false,0.623
172,Guillermo Garcia Lopez,Spain,ESP,true,0.623
173,Carl Uwe Steeb,Germany,GER,false,0.622
174,Lionel Roux,France,FRA,false,0.621
175,Kevin Kim,United States,USA,false,0.620
176,Victor Estrella,Dominican Republic,DOM,false,0.620
177,Felix Mantilla,Spain,ESP,false,0.620
178,Alexander Volkov,Russian Federation,RUS,false,0.619
179,Bobby Reynolds,United States,USA,false,0.619
180,Yuichi Sugita,Japan,JPN,true,0.618
181,Alexander Popp,Germany,GER,false,0.617
182,Matthew Ebden,Australia,AUS,true,0.617
183,Christo Van Rensburg,South Africa,RSA,false,0.617
184,Jens Knippschild,Germany,GER,false,0.616
185,Karol Kucera,Slovakia,SVK,false,0.616
186,Matthias Bachinger,Germany,GER,true,0.616
187,Lukasz Kubot,Poland,POL,false,0.615
188,Paolo Lorenzi,Italy,ITA,true,0.614
189,Potito Starace,Italy,ITA,false,0.613
190,Daniel Gimeno Traver,Spain,ESP,false,0.613
191,Brad Gilbert,United States,USA,false,0.613
192,Michal Przysiezny,Poland,POL,false,0.613
193,Karsten Braasch,Germany,GER,false,0.612
